latitude,longitude,value
26.9157,70.9083,120
23.7337,69.8597,85
8.7139,77.7567,95
24.476,74.862,75
28.6139,77.209,140
19.076,72.8777,130
13.0827,80.2707,110
22.5726,88.3639,105
17.385,78.4867,115
12.9716,77.5946,125
15.2993,74.124,90
21.1458,79.0882,98
26.8467,80.9462,135
25.5941,85.1376,88
30.7333,76.7794,102
31.1048,77.1734,80
34.0837,74.7973,65
32.7266,74.857,70
11.0168,76.9558,108
9.9252,78.1198,99
23.0225,72.5714,118
18.5204,73.8567,122
16.5062,80.648,101
20.2961,85.8245,97
22.3072,73.1812,112
24.5854,73.7125,86
27.1767,78.0081,92
25.3176,82.9739,104
29.9457,78.1642,76
10.8505,76.2711,109
