latitude,longitude,value,name,city
28.6139,77.2090,46.2,Delhi Safdarjung Weather Station,Delhi
26.9124,75.7873,47.8,Jaipur IMD Observatory,Jaipur
23.0225,72.5714,45.4,Ahmedabad Climate Telemetry,Ahmedabad
21.1458,79.0882,46.9,Nagpur Central Monitoring Station,Nagpur
17.3850,78.4867,42.1,Hyderabad Begumpet Station,Hyderabad
13.0827,80.2707,41.5,Chennai Meenambakkam Center,Chennai
22.5726,88.3639,40.8,Kolkata Alipore Station,Kolkata
19.0760,72.8777,38.6,Mumbai Santacruz Observatory,Mumbai
25.5941,85.1376,44.7,Patna Climate Station,Patna
30.7333,76.7794,43.8,Chandigarh Weather Station,Chandigarh
